date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:36	274878/274878	U--MCZ	200	updated ('OK')	text/html	etag:W/%22431be-bzrJNoewJIE8odMg/n7UDk6m8hs%22	https://www.air-closet.com/service/details/feedback/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/service/details/feedback/index.html	(from https://www.air-closet.com/)
15:48:36	259551/259551	U--MCZ	200	updated ('OK')	text/html	etag:W/%223f5df-7GbV4eDzE367lRkgxr+ANJNPJBU%22	https://www.air-closet.com/service/details/karte/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/service/details/karte/index.html	(from https://www.air-closet.com/)
15:48:37	264999/264999	U--MCZ	200	updated ('OK')	text/html	etag:W/%2240b27-7RVDso7Y42mJHAdKwQTWSvMZyFw%22	https://www.air-closet.com/service/details/exchange/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/service/details/exchange/index.html	(from https://www.air-closet.com/)
15:48:37	333951/333951	U-----	200	untouched ('')	image/jpeg	etag:%2232f134071d6a11da7e78c85bef2fc560%22	https://www.air-closet.com/assets/images/campaign/2021/for-medical-worker/bnr_detail_sp.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/campaign/2021/for-medical-worker/bnr_detail_sp.jpg	(from https://www.air-closet.com/)
15:48:37	431843/431843	U-----	200	untouched ('')	image/jpeg	etag:%22d65d0d2523ae86500ba1e06868b544a3%22	https://www.air-closet.com/assets/images/campaign/2021/for-medical-worker/bnr_detail_pc.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/campaign/2021/for-medical-worker/bnr_detail_pc.jpg	(from https://www.air-closet.com/)
15:48:37	42413/42413	U-----	200	untouched ('')	image/png	etag:%2235583f043b4bb1d5d114cc3ffead635b%22	https://air-closet-app.s3-ap-northeast-1.amazonaws.com/uploads/banner/image/20191001114659-epos_%e9%80%9a%e5%b8%b8.png	C:/Users/Abo/Desktop/air-closet/air-closet-app.s3-ap-northeast-1.amazonaws.com/uploads/banner/image/20191001114659-epos_%e9%80%9a%e5%b8%b8.png	(from https://www.air-closet.com/)
15:48:38	302697/302697	U--MCZ	200	updated ('OK')	text/html	etag:W/%2249e69-z5cs1otsljsuUfVbFOm225TlW60%22	https://www.air-closet.com/member-agreement/free/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/member-agreement/free/index.html	(from https://www.air-closet.com/)
15:48:38	261044/261044	U--MCZ	200	updated ('OK')	text/html	etag:W/%223fbb4-MyNuCoQ61pEJ9RqCW8JYuAwg/mU%22	https://www.air-closet.com/trade/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/trade/index.html	(from https://www.air-closet.com/)
15:48:38	295015/295015	U--MCZ	200	updated ('OK')	text/html	etag:W/%2248067-5zmc2/8QXQVGGKGQeLQtrMIUb+E%22	https://www.air-closet.com/member-agreement/monthly/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/member-agreement/monthly/index.html	(from https://www.air-closet.com/)
15:48:38	263305/263305	U--MCZ	200	updated ('OK')	text/html	etag:W/%2240489-LFZBGsSsATsp+0sEgwFGSCUZ60c%22	https://www.air-closet.com/security/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/security/index.html	(from https://www.air-closet.com/)
15:48:39	281614/281614	U--MCZ	200	updated ('OK')	text/html	etag:W/%2244c0e-fuSmiZ6taFDU+5j9ayUFEjmo8IM%22	https://www.air-closet.com/privacy/policy/	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/privacy/policy/index.html	(from https://www.air-closet.com/)
15:48:44	42169/42169	U--MC-	200	updated ('OK')	text/javascript	date:Thu,%2018%20Mar%202021%2008:48:39%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/Abo/Desktop/air-closet/www.googleadservices.com/pagead/f.txt	(from https://www.air-closet.com/)
15:48:44	8486180/8486180	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%224ebd3664025c7bb1b521904d34685689%22	https://www.air-closet.com/assets/vendor.js	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/vendor.js	(from https://www.air-closet.com/)
15:48:45	81028/81028	U-----	200	untouched ('')	application/javascript	etag:W/%2281028-1608162448000%22	https://static.mul-pay.jp/ext/js/token.js	C:/Users/Abo/Desktop/air-closet/static.mul-pay.jp/ext/js/token.js	(from https://www.air-closet.com/)
15:48:45	5040/5040	U-----	200	untouched ('')	binary/octet-stream	etag:%22fe414c8946307a06623bdc6358740dad%22	https://www.air-closet.com/assets/iconfonts/ac-icon.woff2	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/iconfonts/ac-icon.woff2	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:45	122995/122995	U-----	200	untouched ('OK')	image/svg+xml	etag:%22d9f1ff7a9c13fd50a009fc08a9c828a5%22	https://www.air-closet.com/assets/iconfonts/ac-icon.svg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/iconfonts/ac-icon.svg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:45	13196/13196	U-----	200	untouched ('')	binary/octet-stream	etag:%22e100b0c48b697e791c1a507469167d02%22	https://www.air-closet.com/assets/iconfonts/ac-icon.ttf	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/iconfonts/ac-icon.ttf	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:46	6652/6652	U-----	200	untouched ('')	binary/octet-stream	etag:%221f6fd2021440d67be27c85a53440780f%22	https://www.air-closet.com/assets/iconfonts/ac-icon.woff	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/iconfonts/ac-icon.woff	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:46	166315/166315	U-----	200	untouched ('')	image/png	etag:%227412c24f4c11bbb3fe91024a677659ae%22	https://www.air-closet.com/assets/images/sprites/sprite-common.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/sprites/sprite-common.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:46	9993/9993	U-----	200	untouched ('')	image/png	etag:%22b27c5c406cae0e0a2c9bae9f89d2b110%22	https://www.air-closet.com/assets/images/footer/icon_Instagram.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/footer/icon_Instagram.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:46	611/611	U-----	200	untouched ('OK')	image/svg+xml	etag:%22c00f074abf61f4c25b91eda99de3b342%22	https://www.air-closet.com/assets/images/footer/icon_Facebook.svg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/footer/icon_Facebook.svg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:48	4898719/4898719	U--M-Z	200	updated ('OK')	application/javascript	etag:%228757d628dbd59e22745a797eaebfd131%22	https://www.air-closet.com/assets/bundle.js	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/bundle.js	(from https://www.air-closet.com/)
15:48:49	1148/1148	U-----	200	untouched ('OK')	image/svg+xml	etag:%2228f6573ebb5a9cd6a0ba19f37ce0f257%22	https://www.air-closet.com/assets/images/footer/icon_LINE@.svg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/footer/icon_LINE@.svg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:49	1091/1091	U-----	200	untouched ('')	image/png	etag:%226ce5082b0fcbad23c07dbd609756cf35%22	https://www.air-closet.com/assets/images/attention/size-diff.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/attention/size-diff.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:49	5731/5731	U-----	200	untouched ('OK')	image/svg+xml	etag:%225bc57fd361399ab50336aa1001a1959f%22	https://www.air-closet.com/assets/images/option/accessory.svg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/option/accessory.svg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:49	1531004/1531004	U-----	200	untouched ('')	image/png	etag:%22a763c3fa61292b01de283b378aaa821f%22	https://www.air-closet.com/assets/images/sprites/sprite-top.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/sprites/sprite-top.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:49	128964/128964	U-----	200	untouched ('')	image/jpeg	etag:%2234d8f886a38170b0fc07956800c3e83a%22	https://www.air-closet.com/assets/images/index/img_main_2.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/index/img_main_2.jpg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:49	28013/28013	U-----	200	untouched ('')	image/jpeg	etag:%2235ad1970381de518a0b402d3943bee18%22	https://www.air-closet.com/assets/images/index/img_main_sp.jpg	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/index/img_main_sp.jpg	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:50	263660/263660	U-----	200	untouched ('')	image/png	etag:%2298fe0670eb5997e5c3bca58b18ebd27e%22	https://www.air-closet.com/assets/images/gift/keyvisual_main.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/gift/keyvisual_main.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:50	155878/155878	U-----	200	untouched ('')	image/png	etag:%2217b6bf9d2864471a73156190e0e7cef4%22	https://www.air-closet.com/assets/images/gift/keyvisual_main_sp.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/gift/keyvisual_main_sp.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:50	161485/161485	U-----	200	untouched ('')	image/png	etag:%22eb65aaf0dfca97668fa962f126411b06%22	https://www.air-closet.com/assets/images/sprites/sprite-gift.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/sprites/sprite-gift.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
15:48:50	150961/150961	U-----	200	untouched ('')	image/png	etag:%227ed9d03aac8e7017efe03842b82735ef%22	https://www.air-closet.com/assets/images/gift/gift_scene_1.png	C:/Users/Abo/Desktop/air-closet/www.air-closet.com/assets/images/gift/gift_scene_1.png	(from https://www.air-closet.com/assets/stylesheets/style.css)
